Date,Price,Open,High,Low,Volume,Chg%
"Nov 06, 2023","60,813","60,820","60,980","60,757",7.71K,-0.03%
"Nov 03, 2023","60,829","60,822","61,590","60,005",2.37M,0.04%
"Nov 02, 2023","60,805","60,828","60,845","60,666",0.19K,0.08%
"Nov 01, 2023","60,757","60,729","61,478","60,621",2.00M,-0.52%
"Oct 31, 2023","61,077","61,021","61,688","60,800",0.36K,0.21%
"Oct 30, 2023","60,952","60,952","61,280","60,952",43.45M,0.00%
"Oct 27, 2023","60,952","60,759","61,056","60,588",7.89K,0.49%
"Oct 26, 2023","60,652","60,673","60,880","60,410",104.83M,0.00%
"Oct 25, 2023","60,652","60,282","60,680","60,180",143.36M,0.41%
"Oct 24, 2023","60,402","60,400","60,401","59,958",72.89M,0.00%
"Oct 23, 2023","60,402","60,100","60,525","60,100",109.85M,0.04%
"Oct 20, 2023","60,375","59,978","60,740","59,935",17.32K,0.73%
"Oct 19, 2023","59,935","59,600","59,978","59,481",12.20K,1.72%
"Oct 18, 2023","58,922","59,127","59,846","59,127",160.42M,0.11%
"Oct 17, 2023","58,857","58,850","59,100","58,700",7.16K,-0.23%
"Oct 16, 2023","58,993","58,880","58,993","58,600",7.88K,0.00%
"Oct 13, 2023","58,993","57,665","59,019","57,634",23.77K,2.40%
"Oct 12, 2023","57,613","57,721","57,900","57,575",8.26K,-0.04%
"Oct 11, 2023","57,636","57,387","57,742","57,340",8.00K,0.47%
"Oct 10, 2023","57,364","57,320","57,450","57,230",7.42K,0.17%
"Oct 09, 2023","57,268","56,720","57,300","56,720",9.88K,1.21%
"Oct 06, 2023","56,582","56,486","56,641","56,160",11.22K,0.39%
"Oct 05, 2023","56,360","55,913","56,360","55,913",8.90K,0.23%
"Oct 04, 2023","56,229","56,280","56,367","56,205",0.14K,-0.28%
"Oct 03, 2023","56,385","56,323","56,490","56,251",0.08K,-1.18%
"Sep 29, 2023","57,061","57,445","57,727","56,802",0.34K,-0.15%
"Sep 28, 2023","57,146","57,675","57,788","56,674",6.96K,-1.06%
"Sep 27, 2023","57,759","58,466","58,478","57,662",13.13K,-1.23%
"Sep 26, 2023","58,478","58,656","58,700","58,454",9.34K,-0.39%
"Sep 25, 2023","58,707","58,860","58,948","58,674",6.48K,-0.32%
"Sep 22, 2023","58,896","58,800","58,948","58,721",5.38K,0.07%
"Sep 21, 2023","58,853","59,300","59,300","58,726",9.32K,-0.86%
"Sep 20, 2023","59,363","59,167","59,388","59,100",6.43K,0.17%
"Sep 19, 2023","59,265","59,250","59,350","59,231",2.65K,0.09%
"Sep 18, 2023","59,212","59,079","59,225","59,056",5.05K,0.37%
"Sep 15, 2023","58,992","58,690","59,111","58,677",8.14K,0.66%
"Sep 14, 2023","58,608","58,500","58,635","58,385",6.59K,0.00%
"Sep 13, 2023","58,610","58,576","58,726","58,527",5.10K,-0.05%
"Sep 12, 2023","58,642","58,999","58,999","58,576",8.32K,-0.51%
"Sep 11, 2023","58,941","58,932","59,120","58,902",4.16K,0.06%
"Sep 08, 2023","58,905","59,117","59,200","58,872",5.87K,-0.19%
"Sep 07, 2023","59,016","59,124","59,125","58,981",4.27K,-0.16%
"Sep 06, 2023","59,111","59,208","59,310","59,021",6.94K,-0.24%
"Sep 05, 2023","59,252","59,550","59,550","59,150",4.89K,-0.22%
"Sep 04, 2023","59,385","59,125","59,540","59,101",0.09K,0.47%
"Sep 01, 2023","59,106","59,082","59,507","59,051",0.40K,-0.01%
"Aug 31, 2023","59,113","59,138","59,379","59,001",0.20K,-0.01%
"Aug 30, 2023","59,117","58,832","59,164","58,830",5.37K,0.47%
"Aug 29, 2023","58,843","58,620","58,880","58,430",11.85K,0.59%
"Aug 28, 2023","58,497","58,300","58,600","58,206",8.81K,0.38%
"Aug 25, 2023","58,273","58,383","58,520","58,171",9.06K,-0.28%
"Aug 24, 2023","58,436","58,448","58,533","58,261",7.11K,0.01%
"Aug 23, 2023","58,430","58,290","58,456","58,160",7.78K,0.36%
"Aug 22, 2023","58,221","58,164","58,328","58,073",6.85K,0.10%
"Aug 21, 2023","58,164","58,110","58,320","57,992",8.85K,0.11%
"Aug 18, 2023","58,098","58,169","58,265","58,055",4.99K,0.12%
"Aug 17, 2023","58,027","58,385","58,390","58,007",8.38K,-0.66%
"Aug 16, 2023","58,413","58,598","58,619","58,401",5.67K,-0.43%
"Aug 14, 2023","58,663","58,744","58,744","58,525",4.96K,0.03%
"Aug 11, 2023","58,645","58,582","58,741","58,487",6.65K,0.07%
"Aug 10, 2023","58,605","58,680","58,879","58,508",7.82K,-0.19%
"Aug 09, 2023","58,719","59,051","59,097","58,702",9.96K,-0.47%
"Aug 08, 2023","58,997","59,161","59,215","58,950",9.73K,-0.34%
"Aug 07, 2023","59,201","59,325","59,380","59,135",8.38K,0.13%
"Aug 04, 2023","59,124","59,074","59,249","59,037",0.02K,0.08%
"Aug 03, 2023","59,078","59,099","59,860","58,950",0.16K,-0.07%
"Aug 02, 2023","59,117","59,241","59,399","59,041",0.13K,0.12%
"Aug 01, 2023","59,048","59,528","59,528","59,029",0.78K,-0.97%
"Jul 31, 2023","59,628","59,064","59,702","59,064",4.23K,0.57%
"Jul 28, 2023","59,288","58,989","59,335","58,910",10.91K,0.70%
"Jul 27, 2023","58,878","59,455","59,538","58,711",13.67K,-0.79%
"Jul 26, 2023","59,347","59,199","59,460","59,097",9.91K,0.38%
"Jul 25, 2023","59,120","59,057","59,191","58,870",8.85K,0.18%
"Jul 24, 2023","59,013","59,188","59,234","58,967",8.04K,-0.35%
"Jul 21, 2023","59,221","59,460","59,500","59,110",7.40K,-0.40%
"Jul 20, 2023","59,459","59,750","59,842","59,338",9.93K,-0.38%
"Jul 19, 2023","59,683","59,650","59,739","59,505",7.00K,0.08%
"Jul 18, 2023","59,633","59,135","59,767","59,112",15.28K,0.97%
"Jul 17, 2023","59,061","59,095","59,180","58,861",8.54K,-0.28%
"Jul 14, 2023","59,229","59,207","59,320","59,083",7.72K,0.07%
"Jul 13, 2023","59,185","59,150","59,325","59,050",9.30K,0.12%
"Jul 12, 2023","59,113","58,790","59,168","58,688",13.17K,0.64%
"Jul 11, 2023","58,737","58,601","58,840","58,553",8.87K,0.17%
"Jul 10, 2023","58,635","58,690","58,720","58,390",9.83K,-0.19%
"Jul 07, 2023","58,747","58,396","58,898","58,313",13.14K,0.62%
"Jul 06, 2023","58,385","58,469","58,637","58,150",13.96K,0.13%
"Jul 05, 2023","58,308","58,186","58,450","58,148",0.12K,0.20%
"Jul 04, 2023","58,194","58,171","58,239","58,124",0.02K,0.13%
"Jul 03, 2023","58,119","57,979","58,205","57,830",0.07K,0.17%
"Jun 30, 2023","58,020","57,743","58,059","57,673",0.44K,0.77%
"Jun 29, 2023","57,578","57,600","57,811","57,375",6.46K,-0.38%
"Jun 28, 2023","57,796","58,080","58,080","57,690",10.09K,-0.38%
"Jun 27, 2023","58,015","58,350","58,391","57,930",8.40K,-0.41%
"Jun 26, 2023","58,256","58,282","58,495","58,211",7.60K,0.12%
"Jun 23, 2023","58,188","58,111","58,594","58,046",10.12K,0.08%
"Jun 22, 2023","58,144","58,553","58,644","58,111",10.48K,-0.83%
"Jun 21, 2023","58,630","58,702","58,762","58,326",9.89K,-0.15%
"Jun 20, 2023","58,721","59,064","59,238","58,555",11.77K,-0.55%
